"","Punkt","Jahr","Stratum","x_UTM","y_UTM","Tiefe_zum_Oxidationshorizont_cm","Maechtigkeit_Oxidationshorizont_cm","Maechtigkeit_A_Horizont_cm","Maechtigkeit_AL_Schicht_cm","Gelaendehoehe_m","Bodenfeuchte_Prozent","StratumName","linModel","errlinModel","bestlinModel","errbestlinModel","glm","errglm","glm_gamma","errglm_gamma","bestglm","errbestglm","treeModel","errtreeModel","OOB","errOOB","INB","errINB"
"1",1,2012,1,311988,5846505,100,0,10,15,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2012,1,311980,5846549,100,0,10,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2012,1,311988.5,5846505,100,0,15,20,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2012,1,311995.5,5846505,85,15,NA,20,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2012,1,311974,5846524,100,0,32,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2012,1,311969,5846515,100,0,0,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2012,1,311974.5,5846524,100,0,34,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2012,1,311981.5,5846524,100,0,22,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2012,1,311943,5846517,100,0,13,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2012,1,311935,5846519,100,0,22,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,2012,1,311943.5,5846517,100,0,0,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,2012,1,311950.5,5846517,100,0,10,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2012,1,311969,5846555,100,0,27,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,2012,1,311956,5846561,67.5,5,8,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,2012,1,311969.5,5846555,35,56,5,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,2012,1,311976.5,5846555,18,42,10,0,NA,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,2012,1,312019,5846519,45,52,35,0,98.908,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,2012,1,312005,5846533,41,39,40,0,99.048,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,2012,1,312019.5,5846519,35,57.5,7,0,98.894,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,2012,1,312026.5,5846519,30,70,10,NA,98.743,NA,"Talsand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,2012,2,311963,5846431,17,83,20,100,98.484,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,2012,2,311957,5846438,28,72,26,100,98.609,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,2012,2,311963.5,5846431,35,65,25,100,98.499,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,2012,2,311970.5,5846431,33,67,39,100,98.506,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,2012,2,311966,5846495,25,75,20,60,99.205,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,2012,2,311967,5846482,33,67,NA,NA,99.075,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,2012,2,311966.5,5846495,100,0,32,35,99.211,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2012,2,311973.5,5846495,100,0,32,55,99.229,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,2012,2,311977,5846573,18,49,30,50,98.375,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
