Punkt	Code	Jahr	Stratum	design_od_modell_basiert	x_rel_obs	y_rel_obs	x_UTM	y_UTM	Tiefe_zum_Oxidationshorizont_cm	Maechtigkeit_Oxidationshorizont_cm	Maechtigkeit_A_Horizont_cm	Maechtigkeit_AL_Schicht_cm	Gelaendehoehe_m	Bodenfeuchte_Prozent
1	s1.1_d.1	2012	1	d	1024.008	990.002	311988	5846505	100	0	10	15	NA	NA
2	s1.1_d.2	2012	1	d	1016.022	1034.028	311980	5846549	100	0	10	0	NA	NA
3	s1.1_m.1	2012	1	m	1024.474	990.006	311988.5	5846505	100	0	15	20	NA	NA
4	s1.1_m.2	2012	1	m	1031.506	989.998	311995.5	5846505	85	15	NA	20	NA	NA
5	s1.2_d.1	2012	1	d	1010.017	1009.004	311974	5846524	100	0	32	0	NA	NA
6	s1.2_d.2	2012	1	d	1005.013	1000.005	311969	5846515	100	0	0	0	NA	NA
7	s1.2_m.1	2012	1	m	1010.502	1009.008	311974.5	5846524	100	0	34	0	NA	NA
8	s1.2_m.2	2012	1	m	1017.495	1008.985	311981.5	5846524	100	0	22	0	NA	NA
9	s1.3_d.1	2012	1	d	979	1002.02	311943	5846517	100	0	13	0	NA	NA
10	s1.3_d.2	2012	1	d	971.013	1004.018	311935	5846519	100	0	22	0	NA	NA
11	s1.3_m.1	2012	1	m	979.489	1001.984	311943.5	5846517	100	0	0	0	NA	NA
12	s1.3_m.2	2012	1	m	986.499	1001.986	311950.5	5846517	100	0	10	0	NA	NA
13	s1.4_d.1	2012	1	d	1005.013	1040.014	311969	5846555	100	0	27	0	NA	NA
14	s1.4_d.2	2012	1	d	991.989	1045.982	311956	5846561	67.5	5	8	0	NA	NA
15	s1.4_m.1	2012	1	m	1005.488	1040.001	311969.5	5846555	35	56	5	0	NA	NA
16	s1.4_m.2	2012	1	m	1012.492	1039.999	311976.5	5846555	18	42	10	0	NA	NA
17	s1.5_d.1	2012	1	d	1055.026	1004.003	312019	5846519	45	52	35	0	98.908	NA
18	s1.5_d.2	2012	1	d	1040.984	1017.995	312005	5846533	41	39	40	0	99.048	NA
19	s1.5_m.1	2012	1	m	1055.493	1004.003	312019.5	5846519	35	57.5	7	0	98.894	NA
20	s1.5_m.2	2012	1	m	1062.496	1004.003	312026.5	5846519	30	70	10	NA	98.743	NA
21	s2.1_d.1	2012	2	d	999.018	915.989	311963	5846431	17	83	20	100	98.484	NA
22	s2.1_d.2	2012	2	d	992.993	923.013	311957	5846438	28	72	26	100	98.609	NA
23	s2.1_m.1	2012	2	m	999.487	916.016	311963.5	5846431	35	65	25	100	98.499	NA
24	s2.1_m.2	2012	2	m	1006.504	916.007	311970.5	5846431	33	67	39	100	98.506	NA
25	s2.2_d.1	2012	2	d	1001.989	979.992	311966	5846495	25	75	20	60	99.205	NA
26	s2.2_d.2	2012	2	d	1003.015	966.999	311967	5846482	33	67	NA	NA	99.075	NA
27	s2.2_m.1	2012	2	m	1002.473	980.014	311966.5	5846495	100	0	32	35	99.211	NA
28	s2.2_m.2	2012	2	m	1009.5	979.998	311973.5	5846495	100	0	32	55	99.229	NA
29	s2.3_d.1	2012	2	d	1013.002	1057.988	311977	5846573	18	49	30	50	98.375	NA
30	s2.3_d.2	2012	2	d	1021.013	1068.003	311985	5846583	14	42	15	70	98.066	NA
31	s2.3_m.1	2012	2	m	1013.511	1057.98	311977.5	5846573	100	0	55	50	98.367	NA
32	s2.3_m.2	2012	2	m	1020.514	1058.006	311984.5	5846573	NA	NA	NA	NA	98.233	NA
33	s2.4_d.1	2012	2	d	910.009	1004.986	311874	5846520	49	51	NA	100	97.973	NA
34	s2.4_d.2	2012	2	d	906.005	986.006	311870	5846501	21	79	20	100	98.488	NA
35	s2.4_m.1	2012	2	m	910.508	1004.992	311874.5	5846520	32	25	25	100	98	NA
36	s2.4_m.2	2012	2	m	917.5	1005.02	311881.5	5846520	25	55	36	100	98.171	NA
37	s2.5_d.1	2012	2	d	949.999	965.012	311914	5846480	19	81	22	100	98.914	NA
38	s2.5_d.2	2012	2	d	946.009	968.008	311910	5846483	22	78	20	80	98.916	NA
39	s2.5_m.1	2012	2	m	950.503	965.001	311914.5	5846480	35	65	26	80	98.907	NA
40	s2.5_m.2	2012	2	m	957.518	964.998	311921.5	5846480	70	30	NA	100	99	NA
41	s2.6_d.1	2012	2	d	1054.995	1023.991	312019	5846539	16	16	20	35	98.111	NA
42	s2.6_d.2	2012	2	d	1060	1033.978	312024	5846549	28	11	15	65	97.817	NA
43	s2.6_m.1	2012	2	m	1055.489	1023.984	312019.5	5846539	10	23	20	NA	98.072	NA
44	s2.6_m.2	2012	2	m	1062.494	1023.999	312026.5	5846539	40	40	40	45	97.895	NA
